type, lat, lon, heading1, heading2, length, width, date processed, filename, date of image, time of image, image resolution, sensor, image bit-depth, security classification, control and handling, number of tips, processing algorithm, note
UNKNOWN, 4.11029, 7.12072, 90.00 , 270.00, 621.00, 621.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 5.54599, 5.07418, 0.00 , 180.00, 533.00, 533.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 4.77323, 5.36972, 0.00 , 180.00, 458.00, 264.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.45380, 5.14789, 90.00 , 270.00, 848.00, 259.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.35958, 4.34053, 101.45 , 281.45, 1875.00, 891.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.64631, 5.00116, 166.77 , 346.77, 967.00, 642.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 5.73985, 4.72509, 0.00 , 180.00, 533.00, 533.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 4.96778, 4.16251, 0.00 , 180.00, 533.00, 533.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.31348, 4.57141, 0.00 , 180.00, 811.00, 525.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.68969, 5.04914, 0.00 , 180.00, 625.00, 529.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
