mmsi, lat, lon, timestamp, imo, vesseltypeint, vessel name, callsign, length, width
636090252, 0.139917, 5.56552, 1301158266, 9062972, 70, LUETJENBURG, ELVFv, 0, 0
636090252, 0.143633, 5.56427, 1301158315, 9062972, 70, LUETJENBURG, ELVFv, 0, 0
636090252, 0.144567, 5.56395, 1301158326, 9062972, 70, LUETJENBURG, ELVFv, 0, 0
636090277, 6.32494, 2.44881, 1301158464, 9152739, 70, ALEXANDRA RICKMERS, ELVXt, 0, 0
636090306, 3.89544, 3.13676, 1301158399, 9160437, 70, SAFMARINE NYANGA, ELWPu, 0, 0
636090306, 3.8906, 3.14079, 1301158464, 9160437, 70, SAFMARINE NYANGA, ELWPu, 0, 0
636090534, 4.6699, 7.15335, 1301158346, 9246310, 70, En Rn WILHELMSHAVEN, ELZYs, 0, 0
636090753, -9.7325, 10.0591, 1301158045, 9256389, 70, HANSA FREYBURG, AxESx, 0, 0
636090753, -9.72855, 10.0501, 1301158147, 9256389, 70, HANSA FREYBURG, AxESx, 0, 0
636090753, -9.72717, 10.0468, 1301158184, 9256389, 70, HANSA FREYBURG, AxESx, 0, 0
636090753, -9.72375, 10.0387, 1301158274, 9256389, 70, HANSA FREYBURG, AxESx, 0, 0
636090753, -9.72193, 10.0344, 1301158322, 9256389, 70, HANSA FREYBURG, AxESx, 0, 0
636090753, -9.72147, 10.0333, 1301158334, 9256389, 70, HANSA FREYBURG, AxESx, 0, 0
636090892, 3.46691, 6.37766, 1301158283, 9249324, 80, FRONT SYMPHONY, AxHHx, 0, 0
636090892, 3.46701, 6.37768, 1301158363, 9249324, 80, FRONT SYMPHONY, AxHHx, 0, 0
636090892, 3.46722, 6.37772, 1301158423, 9249324, 80, FRONT SYMPHONY, AxHHx, 0, 0
636091182, -11.0006, 8.7415, 1301158096, 8513807, 71, BUXMASTER, AxKIu, 163, 26
636091182, -11.0046, 8.74297, 1301158156, 8513807, 71, BUXMASTER, AxKIu, 163, 26
636091182, -11.0086, 8.74444, 1301158216, 8513807, 71, BUXMASTER, AxKIu, 163, 26
636091182, -11.0125, 8.74588, 1301158276, 8513807, 71, BUXMASTER, AxKIu, 163, 26
